No.,Track Name,Artist,Year Released,Album:,Spotify Link:,Youtube Link:
5-06,Come As You Are,Nirvana,1991,Nirvana,https://open.spotify.com/search/Come%20As%20You%20Are%20Nirvana,https://www.youtube.com/results?search_query=Come%20As%20You%20Are%20Nirvana%20music%20video
5-07,Lithium,Nirvana,1991,Nirvana,https://open.spotify.com/search/Lithium%20Nirvana,https://www.youtube.com/results?search_query=Lithium%20Nirvana%20music%20video
5-08,In Bloom,Nirvana,1991,Nirvana,https://open.spotify.com/search/In%20Bloom%20Nirvana,https://www.youtube.com/results?search_query=In%20Bloom%20Nirvana%20music%20video
5-09,Heart-Shaped Box,Nirvana,1993,Nirvana,https://open.spotify.com/search/Heart-Shaped%20Box%20Nirvana,https://www.youtube.com/results?search_query=Heart-Shaped%20Box%20Nirvana%20music%20video
5-10,Pennyroyal Tea,Nirvana,1993,Nirvana,https://open.spotify.com/search/Pennyroyal%20Tea%20Nirvana,https://www.youtube.com/results?search_query=Pennyroyal%20Tea%20Nirvana%20music%20video
5-11,Rape Me,Nirvana,1993,Nirvana,https://open.spotify.com/search/Rape%20Me%20Nirvana,https://www.youtube.com/results?search_query=Rape%20Me%20Nirvana%20music%20video
5-12,Dumb,Nirvana,1993,Nirvana,https://open.spotify.com/search/Dumb%20Nirvana,https://www.youtube.com/results?search_query=Dumb%20Nirvana%20music%20video
5-13,All Apologies,Nirvana,1993,Nirvana,https://open.spotify.com/search/All%20Apologies%20Nirvana,https://www.youtube.com/results?search_query=All%20Apologies%20Nirvana%20music%20video
5-14,The Man Who Sold The World,Nirvana,1994,Nirvana,https://open.spotify.com/search/The%20Man%20Who%20Sold%20The%20World%20Nirvana,https://www.youtube.com/results?search_query=The%20Man%20Who%20Sold%20The%20World%20Nirvana%20music%20video
5-15,Where Did You Sleep Last Night,Nirvana,1994,Nirvana,https://open.spotify.com/search/Where%20Did%20You%20Sleep%20Last%20Night%20Nirvana,https://www.youtube.com/results?search_query=Where%20Did%20You%20Sleep%20Last%20Night%20Nirvana%20music%20video
6-01,Going For Gold,Shed Seven,1996,Shed Seven – Going For Gold,https://open.spotify.com/search/Going%20For%20Gold%20Shed%20Seven,https://www.youtube.com/results?search_query=Going%20For%20Gold%20Shed%20Seven%20music%20video
6-02,Disco Down,Shed Seven,1999,Shed Seven – Going For Gold,https://open.spotify.com/search/Disco%20Down%20Shed%20Seven,https://www.youtube.com/results?search_query=Disco%20Down%20Shed%20Seven%20music%20video
6-03,Getting Better,Shed Seven,1996,Shed Seven – Going For Gold,https://open.spotify.com/search/Getting%20Better%20Shed%20Seven,https://www.youtube.com/results?search_query=Getting%20Better%20Shed%20Seven%20music%20video
6-04,Chasing Rainbows,Shed Seven,1996,Shed Seven – Going For Gold,https://open.spotify.com/search/Chasing%20Rainbows%20Shed%20Seven,https://www.youtube.com/results?search_query=Chasing%20Rainbows%20Shed%20Seven%20music%20video
6-05,Speakeasy,Shed Seven,1994,Shed Seven – Going For Gold,https://open.spotify.com/search/Speakeasy%20Shed%20Seven,https://www.youtube.com/results?search_query=Speakeasy%20Shed%20Seven%20music%20video
6-06,She Left Me On Friday,Shed Seven,1998,Shed Seven – Going For Gold,https://open.spotify.com/search/She%20Left%20Me%20On%20Friday%20Shed%20Seven,https://www.youtube.com/results?search_query=She%20Left%20Me%20On%20Friday%20Shed%20Seven%20music%20video
6-07,On Standby,Shed Seven,1998,Shed Seven – Going For Gold,https://open.spotify.com/search/On%20Standby%20Shed%20Seven,https://www.youtube.com/results?search_query=On%20Standby%20Shed%20Seven%20music%20video
6-08,Dolphin '99,Shed Seven,1999,Shed Seven – Going For Gold,https://open.spotify.com/search/Dolphin%20'99%20Shed%20Seven,https://www.youtube.com/results?search_query=Dolphin%20'99%20Shed%20Seven%20music%20video
6-09,High Hopes,Shed Seven,1994,Shed Seven – Going For Gold,https://open.spotify.com/search/High%20Hopes%20Shed%20Seven,https://www.youtube.com/results?search_query=High%20Hopes%20Shed%20Seven%20music%20video
6-10,Bully Boy,Shed Seven,1994,Shed Seven – Going For Gold,https://open.spotify.com/search/Bully%20Boy%20Shed%20Seven,https://www.youtube.com/results?search_query=Bully%20Boy%20Shed%20Seven%20music%20video
6-11,Devil In Your Shoes,Shed Seven,1996,Shed Seven – Going For Gold,https://open.spotify.com/search/Devil%20In%20Your%20Shoes%20Shed%20Seven,https://www.youtube.com/results?search_query=Devil%20In%20Your%20Shoes%20Shed%20Seven%20music%20video
6-12,Where Have You Been Tonight,Shed Seven,1996,Shed Seven – Going For Gold,https://open.spotify.com/search/Where%20Have%20You%20Been%20Tonight%20Shed%20Seven,https://www.youtube.com/results?search_query=Where%20Have%20You%20Been%20Tonight%20Shed%20Seven%20music%20video
6-13,Ocean Pie,Shed Seven,1994,Shed Seven – Going For Gold,https://open.spotify.com/search/Ocean%20Pie%20Shed%20Seven,https://www.youtube.com/results?search_query=Ocean%20Pie%20Shed%20Seven%20music%20video
6-14,Mark,Shed Seven,1994,Shed Seven – Going For Gold,https://open.spotify.com/search/Mark%20Shed%20Seven,https://www.youtube.com/results?search_query=Mark%20Shed%20Seven%20music%20video
6-15,The Heroes,Shed Seven,1996,Shed Seven – Going For Gold,https://open.spotify.com/search/The%20Heroes%20Shed%20Seven,https://www.youtube.com/results?search_query=The%20Heroes%20Shed%20Seven%20music%20video
7-01,Mis-Shapes,Pulp,1995,Pulp – Different Class,https://open.spotify.com/search/Mis-Shapes%20Pulp,https://www.youtube.com/results?search_query=Mis-Shapes%20Pulp%20music%20video
7-02,Pencil Skirt,Pulp,1995,Pulp – Different Class,https://open.spotify.com/search/Pencil%20Skirt%20Pulp,https://www.youtube.com/results?search_query=Pencil%20Skirt%20Pulp%20music%20video
7-03,Common People,Pulp,1995,Pulp – Different Class,https://open.spotify.com/search/Common%20People%20Pulp,https://www.youtube.com/results?search_query=Common%20People%20Pulp%20music%20video
7-04,I Spy,Pulp,1995,Pulp – Different Class,https://open.spotify.com/search/I%20Spy%20Pulp,https://www.youtube.com/results?search_query=I%20Spy%20Pulp%20music%20video
7-05,Disco 2000,Pulp,1995,Pulp – Different Class,https://open.spotify.com/search/Disco%202000%20Pulp,https://www.youtube.com/results?search_query=Disco%202000%20Pulp%20music%20video
7-06,Live Bed Show,Pulp,1995,Pulp – Different Class,https://open.spotify.com/search/Live%20Bed%20Show%20Pulp,https://www.youtube.com/results?search_query=Live%20Bed%20Show%20Pulp%20music%20video
7-07,Something Changed,Pulp,1996,Pulp – Different Class,https://open.spotify.com/search/Something%20Changed%20Pulp,https://www.youtube.com/results?search_query=Something%20Changed%20Pulp%20music%20video
7-08,Sorted For E's & Wizz,Pulp,1995,Pulp – Different Class,https://open.spotify.com/search/Sorted%20For%20E's%20&%20Wizz%20Pulp,https://www.youtube.com/results?search_query=Sorted%20For%20E's%20&%20Wizz%20Pulp%20music%20video
7-09,F.E.E.L.I.N.G.C.A.L.L.E.D.L.O.V.E,Pulp,1995,Pulp – Different Class,https://open.spotify.com/search/F.E.E.L.I.N.G.C.A.L.L.E.D.L.O.V.E%20Pulp,https://www.youtube.com/results?search_query=F.E.E.L.I.N.G.C.A.L.L.E.D.L.O.V.E%20Pulp%20music%20video
7-10,Underwear,Pulp,1995,Pulp – Different Class,https://open.spotify.com/search/Underwear%20Pulp,https://www.youtube.com/results?search_query=Underwear%20Pulp%20music%20video
7-11,Monday Morning,Pulp,1995,Pulp – Different Class,https://open.spotify.com/search/Monday%20Morning%20Pulp,https://www.youtube.com/results?search_query=Monday%20Morning%20Pulp%20music%20video
7-12,Bar Italia,Pulp,1995,Pulp – Different Class,https://open.spotify.com/search/Bar%20Italia%20Pulp,https://www.youtube.com/results?search_query=Bar%20Italia%20Pulp%20music%20video
8-01,Hello,Oasis,1995,Oasis – (What's The Story) Morning Glory?,https://open.spotify.com/search/Hello%20Oasis,https://www.youtube.com/results?search_query=Hello%20Oasis%20music%20video
8-02,Roll With It,Oasis,1995,Oasis – (What's The Story) Morning Glory?,https://open.spotify.com/search/Roll%20With%20It%20Oasis,https://www.youtube.com/results?search_query=Roll%20With%20It%20Oasis%20music%20video
8-03,Wonderwall,Oasis,1995,Oasis – (What's The Story) Morning Glory?,https://open.spotify.com/search/Wonderwall%20Oasis,https://www.youtube.com/results?search_query=Wonderwall%20Oasis%20music%20video
8-04,Don't Look Back In Anger,Oasis,1996,Oasis – (What's The Story) Morning Glory?,https://open.spotify.com/search/Don't%20Look%20Back%20In%20Anger%20Oasis,https://www.youtube.com/results?search_query=Don't%20Look%20Back%20In%20Anger%20Oasis%20music%20video
8-05,Hey Now!,Oasis,1995,Oasis – (What's The Story) Morning Glory?,https://open.spotify.com/search/Hey%20Now!%20Oasis,https://www.youtube.com/results?search_query=Hey%20Now!%20Oasis%20music%20video
8-06,Untitled (Instrumental),Oasis,1995,Oasis – (What's The Story) Morning Glory?,https://open.spotify.com/search/Untitled%20(Instrumental)%20Oasis,https://www.youtube.com/results?search_query=Untitled%20(Instrumental)%20Oasis%20music%20video
8-07,Some Might Say,Oasis,1995,Oasis – (What's The Story) Morning Glory?,https://open.spotify.com/search/Some%20Might%20Say%20Oasis,https://www.youtube.com/results?search_query=Some%20Might%20Say%20Oasis%20music%20video
8-08,Cast No Shadow,Oasis,1995,Oasis – (What's The Story) Morning Glory?,https://open.spotify.com/search/Cast%20No%20Shadow%20Oasis,https://www.youtube.com/results?search_query=Cast%20No%20Shadow%20Oasis%20music%20video
8-09,She's Electric,Oasis,1995,Oasis – (What's The Story) Morning Glory?,https://open.spotify.com/search/She's%20Electric%20Oasis,https://www.youtube.com/results?search_query=She's%20Electric%20Oasis%20music%20video
8-10,Morning Glory,Oasis,1995,Oasis – (What's The Story) Morning Glory?,https://open.spotify.com/search/Morning%20Glory%20Oasis,https://www.youtube.com/results?search_query=Morning%20Glory%20Oasis%20music%20video
8-11,Untitled (Instrumental),Oasis,1995,Oasis – (What's The Story) Morning Glory?,https://open.spotify.com/search/Untitled%20(Instrumental)%20Oasis,https://www.youtube.com/results?search_query=Untitled%20(Instrumental)%20Oasis%20music%20video
8-12,Champagne Supernova,Oasis,1996,Oasis – (What's The Story) Morning Glory?,https://open.spotify.com/search/Champagne%20Supernova%20Oasis,https://www.youtube.com/results?search_query=Champagne%20Supernova%20Oasis%20music%20video
01-01,Albatross,Fleetwood Mac,1968,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Albatross%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Albatross%20Fleetwood%20Mac%20music%20video
01-02,Black Magic Woman,Fleetwood Mac,1968,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Black%20Magic%20Woman%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Black%20Magic%20Woman%20Fleetwood%20Mac%20music%20video
01-03,The Chain,Fleetwood Mac,1977,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/The%20Chain%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=The%20Chain%20Fleetwood%20Mac%20music%20video
01-04,Man Of The World,Fleetwood Mac,1969,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Man%20Of%20The%20World%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Man%20Of%20The%20World%20Fleetwood%20Mac%20music%20video
01-05,Landslide,Fleetwood Mac,1975,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Landslide%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Landslide%20Fleetwood%20Mac%20music%20video
01-06,Songbird,Fleetwood Mac,1977,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Songbird%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Songbird%20Fleetwood%20Mac%20music%20video
01-07,Silver Springs,Fleetwood Mac,1977,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Silver%20Springs%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Silver%20Springs%20Fleetwood%20Mac%20music%20video
01-08,Gold Dust Woman,Fleetwood Mac,1977,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Gold%20Dust%20Woman%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Gold%20Dust%20Woman%20Fleetwood%20Mac%20music%20video
01-09,Rhiannon,Fleetwood Mac,1975,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Rhiannon%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Rhiannon%20Fleetwood%20Mac%20music%20video
01-10,Go Your Own Way,Fleetwood Mac,1976,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Go%20Your%20Own%20Way%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Go%20Your%20Own%20Way%20Fleetwood%20Mac%20music%20video
01-11,Gypsy,Fleetwood Mac,1982,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Gypsy%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Gypsy%20Fleetwood%20Mac%20music%20video
01-12,Everywhere,Fleetwood Mac,1987,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Everywhere%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Everywhere%20Fleetwood%20Mac%20music%20video
01-13,You Make Loving Fun,Fleetwood Mac,1977,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/You%20Make%20Loving%20Fun%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=You%20Make%20Loving%20Fun%20Fleetwood%20Mac%20music%20video
01-14,Big Love,Fleetwood Mac,1987,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Big%20Love%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Big%20Love%20Fleetwood%20Mac%20music%20video
01-15,Dreams,Fleetwood Mac,1977,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Dreams%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Dreams%20Fleetwood%20Mac%20music%20video
01-16,Little Lies,Fleetwood Mac,1987,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Little%20Lies%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Little%20Lies%20Fleetwood%20Mac%20music%20video
01-17,Oh Diane,Fleetwood Mac,1982,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Oh%20Diane%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Oh%20Diane%20Fleetwood%20Mac%20music%20video
01-18,Sara,Fleetwood Mac,1979,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Sara%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Sara%20Fleetwood%20Mac%20music%20video
01-19,Seven Wonders,Fleetwood Mac,1987,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Seven%20Wonders%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Seven%20Wonders%20Fleetwood%20Mac%20music%20video
01-20,Tusk,Fleetwood Mac,1979,Fleetwood Mac – Greatest Hits,https://open.spotify.com/search/Tusk%20Fleetwood%20Mac,https://www.youtube.com/results?search_query=Tusk%20Fleetwood%20Mac%20music%20video
03-01,Jenny Was A Friend Of Mine,The Killers,2004,The Killers – Hot Fuss,https://open.spotify.com/search/Jenny%20Was%20A%20Friend%20Of%20Mine%20The%20Killers,https://www.youtube.com/results?search_query=Jenny%20Was%20A%20Friend%20Of%20Mine%20The%20Killers%20music%20video
03-02,Mr. Brightside,The Killers,2003,The Killers – Hot Fuss,https://open.spotify.com/search/Mr.%20Brightside%20The%20Killers,https://www.youtube.com/results?search_query=Mr.%20Brightside%20The%20Killers%20music%20video
03-03,Smile Like You Mean It,The Killers,2004,The Killers – Hot Fuss,https://open.spotify.com/search/Smile%20Like%20You%20Mean%20It%20The%20Killers,https://www.youtube.com/results?search_query=Smile%20Like%20You%20Mean%20It%20The%20Killers%20music%20video
03-04,Somebody Told Me,The Killers,2004,The Killers – Hot Fuss,https://open.spotify.com/search/Somebody%20Told%20Me%20The%20Killers,https://www.youtube.com/results?search_query=Somebody%20Told%20Me%20The%20Killers%20music%20video
03-05,All These Things That I’ve Done,The Killers,2004,The Killers – Hot Fuss,https://open.spotify.com/search/All%20These%20Things%20That%20I’ve%20Done%20The%20Killers,https://www.youtube.com/results?search_query=All%20These%20Things%20That%20I’ve%20Done%20The%20Killers%20music%20video
03-06,"Andy, You’re A Star",The Killers,2004,The Killers – Hot Fuss,"https://open.spotify.com/search/Andy,%20You’re%20A%20Star%20The%20Killers","https://www.youtube.com/results?search_query=Andy,%20You’re%20A%20Star%20The%20Killers%20music%20video"
03-07,On Top,The Killers,2004,The Killers – Hot Fuss,https://open.spotify.com/search/On%20Top%20The%20Killers,https://www.youtube.com/results?search_query=On%20Top%20The%20Killers%20music%20video
03-08,Change Your Mind,The Killers,2004,The Killers – Hot Fuss,https://open.spotify.com/search/Change%20Your%20Mind%20The%20Killers,https://www.youtube.com/results?search_query=Change%20Your%20Mind%20The%20Killers%20music%20video
03-09,Believe Me Natalie,The Killers,2004,The Killers – Hot Fuss,https://open.spotify.com/search/Believe%20Me%20Natalie%20The%20Killers,https://www.youtube.com/results?search_query=Believe%20Me%20Natalie%20The%20Killers%20music%20video
03-10,Midnight Show,The Killers,2004,The Killers – Hot Fuss,https://open.spotify.com/search/Midnight%20Show%20The%20Killers,https://www.youtube.com/results?search_query=Midnight%20Show%20The%20Killers%20music%20video
03-11,Everything Will Be Alright,The Killers,2004,The Killers – Hot Fuss,https://open.spotify.com/search/Everything%20Will%20Be%20Alright%20The%20Killers,https://www.youtube.com/results?search_query=Everything%20Will%20Be%20Alright%20The%20Killers%20music%20video
04-01,Come Home,James,1990,James – The Best Of,https://open.spotify.com/search/Come%20Home%20James,https://www.youtube.com/results?search_query=Come%20Home%20James%20music%20video
04-02,Sit Down,James,1990,James – The Best Of,https://open.spotify.com/search/Sit%20Down%20James,https://www.youtube.com/results?search_query=Sit%20Down%20James%20music%20video
04-03,She's A Star,James,1997,James – The Best Of,https://open.spotify.com/search/She's%20A%20Star%20James,https://www.youtube.com/results?search_query=She's%20A%20Star%20James%20music%20video
04-04,Laid,James,1993,James – The Best Of,https://open.spotify.com/search/Laid%20James,https://www.youtube.com/results?search_query=Laid%20James%20music%20video
04-05,Waltzing Along,James,1997,James – The Best Of,https://open.spotify.com/search/Waltzing%20Along%20James,https://www.youtube.com/results?search_query=Waltzing%20Along%20James%20music%20video
04-06,Say Something,James,1993,James – The Best Of,https://open.spotify.com/search/Say%20Something%20James,https://www.youtube.com/results?search_query=Say%20Something%20James%20music%20video
04-07,Born Of Frustration,James,1992,James – The Best Of,https://open.spotify.com/search/Born%20Of%20Frustration%20James,https://www.youtube.com/results?search_query=Born%20Of%20Frustration%20James%20music%20video
04-08,Tomorrow,James,1997,James – The Best Of,https://open.spotify.com/search/Tomorrow%20James,https://www.youtube.com/results?search_query=Tomorrow%20James%20music%20video
04-09,Destiny Calling,James,1998,James – The Best Of,https://open.spotify.com/search/Destiny%20Calling%20James,https://www.youtube.com/results?search_query=Destiny%20Calling%20James%20music%20video
04-10,Out To Get You,James,1993,James – The Best Of,https://open.spotify.com/search/Out%20To%20Get%20You%20James,https://www.youtube.com/results?search_query=Out%20To%20Get%20You%20James%20music%20video
04-11,Runaground,James,1998,James – The Best Of,https://open.spotify.com/search/Runaground%20James,https://www.youtube.com/results?search_query=Runaground%20James%20music%20video
04-12,Lose Control,James,1990,James – The Best Of,https://open.spotify.com/search/Lose%20Control%20James,https://www.youtube.com/results?search_query=Lose%20Control%20James%20music%20video
04-13,Sometimes,James,1993,James – The Best Of,https://open.spotify.com/search/Sometimes%20James,https://www.youtube.com/results?search_query=Sometimes%20James%20music%20video
04-14,How Was It For You?,James,1990,James – The Best Of,https://open.spotify.com/search/How%20Was%20It%20For%20You?%20James,https://www.youtube.com/results?search_query=How%20Was%20It%20For%20You?%20James%20music%20video
04-15,Seven,James,1992,James – The Best Of,https://open.spotify.com/search/Seven%20James,https://www.youtube.com/results?search_query=Seven%20James%20music%20video
04-16,Sound,James,1992,James – The Best Of,https://open.spotify.com/search/Sound%20James,https://www.youtube.com/results?search_query=Sound%20James%20music%20video
04-17,Ring The Bells,James,1992,James – The Best Of,https://open.spotify.com/search/Ring%20The%20Bells%20James,https://www.youtube.com/results?search_query=Ring%20The%20Bells%20James%20music%20video
04-18,Hymn From A Village,James,1985,James – The Best Of,https://open.spotify.com/search/Hymn%20From%20A%20Village%20James,https://www.youtube.com/results?search_query=Hymn%20From%20A%20Village%20James%20music%20video
02-01,Vertigo,U2,2004,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Vertigo%20U2,https://www.youtube.com/results?search_query=Vertigo%20U2%20music%20video
02-02,Somebody Told Me,The Killers,2004,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Somebody%20Told%20Me%20The%20Killers,https://www.youtube.com/results?search_query=Somebody%20Told%20Me%20The%20Killers%20music%20video
02-03,Dakota,Stereophonics,2005,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Dakota%20Stereophonics,https://www.youtube.com/results?search_query=Dakota%20Stereophonics%20music%20video
02-04,This Is The Last Time,Keane,2004,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/This%20Is%20The%20Last%20Time%20Keane,https://www.youtube.com/results?search_query=This%20Is%20The%20Last%20Time%20Keane%20music%20video
02-05,So Here We Are,Bloc Party,2005,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/So%20Here%20We%20Are%20Bloc%20Party,https://www.youtube.com/results?search_query=So%20Here%20We%20Are%20Bloc%20Party%20music%20video
02-06,Wires,Athlete,2005,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Wires%20Athlete,https://www.youtube.com/results?search_query=Wires%20Athlete%20music%20video
02-07,Misunderstood,Robbie Williams,2004,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Misunderstood%20Robbie%20Williams,https://www.youtube.com/results?search_query=Misunderstood%20Robbie%20Williams%20music%20video
02-08,Father And Son,Ronan Keating,2004,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Father%20And%20Son%20Ronan%20Keating,https://www.youtube.com/results?search_query=Father%20And%20Son%20Ronan%20Keating%20music%20video
02-09,Live Twice,Darius,2004,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Live%20Twice%20Darius,https://www.youtube.com/results?search_query=Live%20Twice%20Darius%20music%20video
02-10,Wrap My Words Around You,Daniel Bedingfield,2004,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Wrap%20My%20Words%20Around%20You%20Daniel%20Bedingfield,https://www.youtube.com/results?search_query=Wrap%20My%20Words%20Around%20You%20Daniel%20Bedingfield%20music%20video
02-11,Breathe In,Lucie Silvas,2004,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Breathe%20In%20Lucie%20Silvas,https://www.youtube.com/results?search_query=Breathe%20In%20Lucie%20Silvas%20music%20video
02-12,Black And White Town,Doves,2005,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Black%20And%20White%20Town%20Doves,https://www.youtube.com/results?search_query=Black%20And%20White%20Town%20Doves%20music%20video
02-13,An Honest Mistake,The Bravery,2005,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/An%20Honest%20Mistake%20The%20Bravery,https://www.youtube.com/results?search_query=An%20Honest%20Mistake%20The%20Bravery%20music%20video
02-14,Do This Do That,Freefaller,2005,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Do%20This%20Do%20That%20Freefaller,https://www.youtube.com/results?search_query=Do%20This%20Do%20That%20Freefaller%20music%20video
02-15,Thru The Glass,Thirteen Senses,2005,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Thru%20The%20Glass%20Thirteen%20Senses,https://www.youtube.com/results?search_query=Thru%20The%20Glass%20Thirteen%20Senses%20music%20video
02-16,Tumble And Fall,Feeder,2005,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Tumble%20And%20Fall%20Feeder,https://www.youtube.com/results?search_query=Tumble%20And%20Fall%20Feeder%20music%20video
02-17,Angel Eyes,Raghav feat. JoJo,2004,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Angel%20Eyes%20Raghav%20feat.%20JoJo,https://www.youtube.com/results?search_query=Angel%20Eyes%20Raghav%20feat.%20JoJo%20music%20video
02-18,Baby It’s You,JoJo,2004,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Baby%20It’s%20You%20JoJo,https://www.youtube.com/results?search_query=Baby%20It’s%20You%20JoJo%20music%20video
02-19,Cradle,Atomic Kitten,2005,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Cradle%20Atomic%20Kitten,https://www.youtube.com/results?search_query=Cradle%20Atomic%20Kitten%20music%20video
02-20,Almost Here,Brian McFadden,2005,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Almost%20Here%20Brian%20McFadden,https://www.youtube.com/results?search_query=Almost%20Here%20Brian%20McFadden%20music%20video
02-21,Amarillo,Tony Christie,1971,NOW That’s What I Call Music! 60 – Disc 2,https://open.spotify.com/search/Amarillo%20Tony%20Christie,https://www.youtube.com/results?search_query=Amarillo%20Tony%20Christie%20music%20video
93-01,Bittersweet Symphony,The Verve,1997,The Ultimate Bands: The Classic Anthems (Disc 1),https://open.spotify.com/search/Bittersweet%20Symphony%20The%20Verve,https://www.youtube.com/results?search_query=Bittersweet%20Symphony%20The%20Verve%20music%20video
93-02,Fools Gold,The Stone Roses,1989,The Ultimate Bands: The Classic Anthems (Disc 1),https://open.spotify.com/search/Fools%20Gold%20The%20Stone%20Roses,https://www.youtube.com/results?search_query=Fools%20Gold%20The%20Stone%20Roses%20music%20video
93-03,Creep,Radiohead,1992,The Ultimate Bands: The Classic Anthems (Disc 1),https://open.spotify.com/search/Creep%20Radiohead,https://www.youtube.com/results?search_query=Creep%20Radiohead%20music%20video
93-04,Motorcycle Emptiness,Manic Street Preachers,1992,The Ultimate Bands: The Classic Anthems (Disc 1),https://open.spotify.com/search/Motorcycle%20Emptiness%20Manic%20Street%20Preachers,https://www.youtube.com/results?search_query=Motorcycle%20Emptiness%20Manic%20Street%20Preachers%20music%20video
93-05,Song 2,Blur,1997,The Ultimate Bands: The Classic Anthems (Disc 1),https://open.spotify.com/search/Song%202%20Blur,https://www.youtube.com/results?search_query=Song%202%20Blur%20music%20video
93-06,Caught By The Fuzz,Supergrass,1994,The Ultimate Bands: The Classic Anthems (Disc 1),https://open.spotify.com/search/Caught%20By%20The%20Fuzz%20Supergrass,https://www.youtube.com/results?search_query=Caught%20By%20The%20Fuzz%20Supergrass%20music%20video
93-07,It’s The End Of The World As We Know It,R.E.M.,1987,The Ultimate Bands: The Classic Anthems (Disc 1),https://open.spotify.com/search/It’s%20The%20End%20Of%20The%20World%20As%20We%20Know%20It%20R.E.M.,https://www.youtube.com/results?search_query=It’s%20The%20End%20Of%20The%20World%20As%20We%20Know%20It%20R.E.M.%20music%20video
93-08,Heroes,David Bowie,1977,The Ultimate Bands: The Classic Anthems (Disc 1),https://open.spotify.com/search/Heroes%20David%20Bowie,https://www.youtube.com/results?search_query=Heroes%20David%20Bowie%20music%20video
93-09,Loaded,Primal Scream,1990,The Ultimate Bands: The Classic Anthems (Disc 1),https://open.spotify.com/search/Loaded%20Primal%20Scream,https://www.youtube.com/results?search_query=Loaded%20Primal%20Scream%20music%20video
93-10,Unfinished Sympathy,Massive Attack,1991,The Ultimate Bands: The Classic Anthems (Disc 1),https://open.spotify.com/search/Unfinished%20Sympathy%20Massive%20Attack,https://www.youtube.com/results?search_query=Unfinished%20Sympathy%20Massive%20Attack%20music%20video
